Date,Open,High,Low,Close,Adj Close,Volume,SMA_7,SMA_30,trends,prev_trend,flags
2016-01-04,25.65250015258789,26.342500686645508,25.5,26.337499618530273,24.443037033081055,270597600,,,down,,change
2016-01-05,26.4375,26.462499618530273,25.602500915527344,25.677499771118164,23.83051300048828,223164000,,,down,down,same
2016-01-06,25.139999389648438,25.592500686645508,24.967500686645508,25.174999237060547,23.364160537719727,273829600,,,down,down,same
2016-01-07,24.670000076293945,25.032499313354492,24.107500076293945,24.112499237060547,22.378082275390625,324377600,,,down,down,same
2016-01-08,24.637500762939453,24.77750015258789,24.190000534057617,24.239999771118164,22.496408462524414,283192000,,,down,down,same
2016-01-11,24.74250030517578,24.764999389648438,24.334999084472656,24.63249969482422,22.860675811767578,198957600,,,down,down,same
2016-01-12,25.137500762939453,25.172500610351562,24.709999084472656,24.989999771118164,23.19246482849121,196616800,23.2236202784947,,down,down,same
2016-01-13,25.079999923706055,25.297500610351562,24.325000762939453,24.34749984741211,22.59617805480957,249758400,22.95978328159877,,down,down,same
2016-01-14,24.489999771118164,25.1200008392334,23.934999465942383,24.8799991607666,23.090370178222656,252680400,22.854048592703684,,down,down,same
2016-01-15,24.049999237060547,24.427499771118164,23.84000015258789,24.282499313354492,22.535858154296875,319335600,22.735719680786133,,down,down,same
2016-01-19,24.602500915527344,24.662500381469727,23.875,24.165000915527344,22.426809310913086,212350800,22.74268068586077,,down,down,same
2016-01-20,23.774999618530273,24.547500610351562,23.354999542236328,24.197500228881836,22.45697021484375,289337600,22.73704665047782,,down,down,same
2016-01-21,24.264999389648438,24.469999313354492,23.735000610351562,24.075000762939453,22.343280792236328,208646000,22.66313307625907,,down,down,same
2016-01-22,24.657499313354492,25.364999771118164,24.592500686645508,25.354999542236328,23.53120994567871,263202000,22.711525235857284,,down,down,same
2016-01-25,25.3799991607666,25.38249969482422,24.802499771118164,24.860000610351562,23.07181739807129,207178000,22.7794737134661,,down,down,same
2016-01-26,24.982500076293945,25.219999313354492,24.517499923706055,24.997499465942383,23.199426651000977,300308000,22.795053209577286,,down,down,same
2016-01-27,24.010000228881836,24.157499313354492,23.334999084472656,23.354999542236328,21.675073623657227,533478800,22.67208399091448,,down,down,same
2016-01-28,23.447500228881836,23.6299991607666,23.09749984741211,23.522499084472656,21.83051872253418,222715200,22.586899621146067,,down,down,same
2016-01-29,23.697500228881836,24.334999084472656,23.587499618530273,24.334999084472656,22.584577560424805,257666000,22.60512924194336,,down,down,same
2016-02-01,24.11750030517578,24.177499771118164,23.850000381469727,24.107500076293945,22.373441696166992,163774000,22.609437942504883,,down,down,same
2016-02-02,23.854999542236328,24.010000228881836,23.56999969482422,23.6200008392334,21.921010971069336,149428800,22.379409517560685,,down,down,same
2016-02-03,23.75,24.209999084472656,23.520000457763672,24.087499618530273,22.354887008666992,183857200,22.27699089050293,,down,down,same
2016-02-04,23.96500015258789,24.332500457763672,23.797500610351562,24.149999618530273,22.534503936767578,185886800,22.18200193132673,,down,down,same
2016-02-05,24.1299991607666,24.229999542236328,23.422500610351562,23.5049991607666,21.932649612426758,185672400,22.21879850115095,,down,down,same
2016-02-08,23.282499313354492,23.924999237060547,23.260000228881836,23.752500534057617,22.163597106933594,216085600,22.266381127493723,,down,down,same
2016-02-09,23.572500228881836,23.985000610351562,23.482500076293945,23.747499465942383,22.158931732177734,177324800,22.205574580601283,,down,down,same
2016-02-10,23.979999542236328,24.087499618530273,23.524999618530273,23.5674991607666,21.990966796875,169374400,22.150935309273855,,down,down,same
2016-02-11,23.447500228881836,23.68000030517578,23.147499084472656,23.424999237060547,21.857999801635742,200298800,22.141933713640487,,down,down,same
2016-02-12,23.547500610351562,23.625,23.252500534057617,23.497499465942383,21.925649642944336,161405600,22.08061408996582,,down,down,same
2016-02-16,23.7549991607666,24.212499618530273,23.65250015258789,24.15999984741211,22.54383659362793,196231600,22.081947326660156,22.58883024851481,down,down,same
2016-02-17,24.167499542236328,24.552499771118164,24.037500381469727,24.530000686645508,22.889087677001953,179452800,22.218581335885183,22.53703193664551,down,down,same
